id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
2011.08488,Stefano Zacchiroli,"Stefano Zacchiroli (UP, Inria, DGD-I)",Gender Differences in Public Code Contributions: a 50-year Perspective,,"IEEE Software, Institute of Electrical and Electronics Engineers,
  In press",,,cs.SE,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Gender imbalance in information technology in general, and Free/Open Source
Software specifically, is a well-known problem in the field. Still, little is
known yet about the large-scale extent and long-term trends that underpin the
phenomenon. We contribute to fill this gap by conducting a longitudinal study
of the population of contributors to publicly available software source code.
We analyze 1.6 billion commits corresponding to the development history of 120
million projects, contributed by 33 million distinct authors over a period of
50 years. We classify author names by gender and study their evolution over
time.We show that, while the amount of commits by female authors remains low
overall, there is evidence of a stable long-term increase in their proportion
over all contributions, providing hope of a more gender-balanced future for
collaborative software development.
","[{'version': 'v1', 'created': 'Tue, 17 Nov 2020 07:49:56 GMT'}]",2020-11-18,"[['Zacchiroli', 'Stefano', '', 'UP, Inria, DGD-I']]"
1707.05778,Andr\'es Garc\'ia Medina,"Andr\'es Garc\'ia-Medina, Leonidas Sandoval Junior, Efra\'in Urrutia
  Ba\~nuelos and A. M. Mart\'inez-Arg\""uello","Correlations and Flow of Information between The New York Times and
  Stock Markets","18 pages, 14 figures",,10.1016/j.physa.2018.02.154,,q-fin.ST physics.soc-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We use Random Matrix Theory (RMT) and information theory to analyze the
correlations and flow of information between 64,939 news from The New York
Times and 40 world financial indices during 10 months along the period
2015-2016. The set of news was quantified and transformed into daily polarity
time series using tools from sentiment analysis. Results from RMT shows that a
common factor lead the world indices and news, and even share the same
dynamics. Furthermore, the global correlation structure has found preserved
when adding white noise, which indicate that correlations are not due to sample
size effects. Likewise, we found a lot of information flowing from news to
world indices for specific delay, being of practical interest for trading
purpose. Our results suggest a deep relationship between news and world
indices, and show a situation where news drive world market movements, giving a
new evidence to support behavioral finance as the current economic paradigm.
","[{'version': 'v1', 'created': 'Tue, 18 Jul 2017 17:58:57 GMT'}]",2018-04-04,"[['García-Medina', 'Andrés', ''], ['Junior', 'Leonidas Sandoval', ''], ['Bañuelos', 'Efraín Urrutia', ''], ['Martínez-Argüello', 'A. M.', '']]"
0705.2567,Tomas Ortin,Jorge Bellorin and Tomas Ortin,"Characterization of all the supersymmetric solutions of gauged N=1,d=5
  supergravity",Some references and two comments added,"JHEP0708:096,2007",10.1088/1126-6708/2007/08/096,IFT-UAM/CSIC-07-22,hep-th,,"  We find a complete characterization of all the supersymmetric solutions of
non-Abelian gauged N=1,d=5 supergravity coupled to vector multiplets and
hypermultiplets: the generic forms of the metrics as functions of the scalars
and vector fields plus the equations that all these must satisfy. These
equations are now a complicated non-linear system and there it seems impossible
to produce an algorithm to construct systematically all supersymmetric
solutions.
","[{'version': 'v1', 'created': 'Thu, 17 May 2007 17:28:27 GMT'}, {'version': 'v2', 'created': 'Fri, 25 May 2007 14:04:54 GMT'}, {'version': 'v3', 'created': 'Sun, 24 Jun 2007 23:39:32 GMT'}, {'version': 'v4', 'created': 'Wed, 8 Aug 2007 19:13:17 GMT'}]",2008-11-26,"[['Bellorin', 'Jorge', ''], ['Ortin', 'Tomas', '']]"
0812.1352,Kazem Azizi,"R. Khosravi, K. Azizi, N. Ghahramany","Semileptonic $D_{q}\to K_{1}\ell \nu$ and nonleptonic $D\to K_1 \pi$
  decays in three--point QCD sum rules and factorization approach","28 Pages, 20 Figures and 9 Tables","Phys.Rev.D79:036004,2009",10.1103/PhysRevD.79.036004,,hep-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We analyze the semileptonic $D_{q}\to K_1 \ell\nu$ transition with $q=u, d,
s$, in the framework of the three--point QCD sum rules and the nonleptonic
$D\to K_1 \pi$ decay within the QCD factorization approach. We study $D_{q}$ to
$K_1(1270)$ and $K_1(1400)$ transition form factors by separating the mixture
of the $K_1(1270)$ and $K_1(1400)$ states. Using the transition form factors of
the $D\to K_1 $, we analyze the nonleptonic $D\to K_1 \pi$ decay. We also
present the decay amplitude and decay width of these decays in terms of the
transition form factors. The branching ratios of these channel modes are also
calculated at different values of the mixing angle $\theta_{K_1}$ and compared
with the existing experimental data for the nonleptonic case.
","[{'version': 'v1', 'created': 'Sun, 7 Dec 2008 14:46:47 GMT'}, {'version': 'v2', 'created': 'Thu, 5 Feb 2009 21:30:25 GMT'}]",2009-11-06,"[['Khosravi', 'R.', ''], ['Azizi', 'K.', ''], ['Ghahramany', 'N.', '']]"
gr-qc/0403116,Christos G. Tsagas,"N.K. Spyrou (Thessaloniki), C.G. Tsagas (UCT/DAMTP)","Covariant approach to the conformal dynamical equivalence in
  astrophysics","10 pages, to appear in Class. Quantum Grav",Class.Quant.Grav. 21 (2004) 2435-2444,10.1088/0264-9381/21/9/017,,gr-qc astro-ph,,"  We use covariant techniques to examine the implications of the dynamical
equivalence between geodesic motions and adiabatic hydrodynamic flows. Assuming
that the metrics of a geodesically and a non-geodesically moving fluid are
conformally related, we calculate and compare their mass densities. The density
difference is then expressed in terms of the fundamental physical quantities of
the fluid, such as its energy and isotropic pressure. Both the relativistic and
the non-relativistic case are examined and their differences identified. Our
analysis suggests that observational determinations of astrophysical masses
based on purely Keplerian motions could underestimate the available amount of
matter.
","[{'version': 'v1', 'created': 'Tue, 30 Mar 2004 19:33:24 GMT'}]",2016-08-31,"[['Spyrou', 'N. K.', '', 'Thessaloniki'], ['Tsagas', 'C. G.', '', 'UCT/DAMTP']]"
astro-ph/0403618,Guido Risaliti,"G. Risaliti (Arcetri, CfA), M. Elvis (CfA)",A panchromatic view of AGN,"37 pages, 15 figures. Review for ""Supermassive Black Holes in the
  Distant Universe"", Ed. A. J. Barger, Kluwer Academic Publishers. For high
  resolution figures, see http://www.arcetri.astro.it/~risaliti/review_agn/",,10.1007/978-1-4020-2471-9_6,,astro-ph,,"  We review the continuum emission of Active Galactic Nuclei (AGN) over the
entire electromagnetic spectrum. After a brief historical introduction, we
describe the main spectral properties of unobscured AGN, discussing the
selection biases which prevent us from having a complete view of the AGN
population in the universe, and trying to build an updated spectral energy
distribution of optically selected quasars. In the second part of the review,
we describe the spectral properties of obscured AGN. Finally, we discuss the
main observational methods in the different wavelength bands for disentangling
AGN and stellar emission, and the ability of these methods to find new (mainly
obscured) AGN, a significant fraction of which are probably still missing in
current surveys.
","[{'version': 'v1', 'created': 'Fri, 26 Mar 2004 13:15:47 GMT'}]",2016-01-27,"[['Risaliti', 'G.', '', 'Arcetri, CfA'], ['Elvis', 'M.', '', 'CfA']]"
1303.4403,Hai-Yang Cheng,"Hai-Yang Cheng, Chun-Khiang Chua, Kwei-Chou Yang, Zhi-Qing Zhang",Revisiting charmless hadronic B decays to scalar mesons,"25 pages, 3 figures",,10.1103/PhysRevD.87.114001,,hep-ph hep-ex,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Hadronic charmless B decays to scalar mesons are studied within the framework
of QCD factorization (QCDF). Considering two different scenarios for scalar
mesons above 1 GeV, we find that the data favor the scenario in which the
scalars $a_0(1450)$ and $K_0^*(1430)$ are the lowest lying $q\bar q$ bound
states. This in turn implies a preferred four-quark nature for light scalars
below 1 GeV. Assuming $K_0^*(1430)$ being a lowest lying $q\bar s$ state, we
show that the data of $B\to K_0^*(1430)\eta^{(')}$ and $B\to
K_0^*(1430)(\rho,\omega,\phi)$ can be accommodated in QCDF without introducing
power corrections induced from penguin annihilation, while the predicted
$B^-\to \ov K_0^{*0}(1430)\pi^-$ and $\ov B^0\to K_0^{*-}(1430)\pi^+$ are too
small compared to experiment. In principle, the data of $K_0^*(1430)\pi$ modes
can be explained if penguin-annihilation induced power corrections are taken
into account. However, this will destroy the agreement between theory and
experiment for $B\to K_0^*(1430)(\eta^{(')},\rho,\omega,\phi)$. Contrary to the
pseudoscalar meson sector where $B\to K\eta'$ has the largest rate in 2-body
decays of the $B$ meson, we show that $Br(B\to K_0^*\eta')<\B(B\to K_0^*\eta)$.
The decay $\ov B^0\to a_0(980)^+K^-$ is found to have a rate much smaller than
that of $\ov B^0\to a_0(980)^+\pi^-$ in QCDF, while it is the other way around
in pQCD. Experimental measurements of these two modes will help discriminate
between these two different approaches. Assuming 2-quark bound states for
$f_0(980)$ and $f_0(500)$, the observed large rates of $f_0(980)K$ and
$f_0(980)K^*$ modes can be explained in QCDF with the $f_0(980)\!-\!f_0(500)$
mixing angle $\theta$ in the vicinity of $20^\circ$.
","[{'version': 'v1', 'created': 'Mon, 18 Mar 2013 20:09:23 GMT'}]",2013-06-12,"[['Cheng', 'Hai-Yang', ''], ['Chua', 'Chun-Khiang', ''], ['Yang', 'Kwei-Chou', ''], ['Zhang', 'Zhi-Qing', '']]"
2107.13210,Malay Banerjee,"Pranali Roy Chowdhury, Sergei Petrovskii, Malay Banerjee",Oscillations and pattern formation in a slow-fast prey-predator system,,,,,math.DS,http://creativecommons.org/licenses/by/4.0/,"  We consider the properties of a slow-fast prey-predator system in time and
space. We first argue that the simplicity of prey-predator system is apparent
rather than real and there are still many of its hidden properties that have
been poorly studied or overlooked altogether. We further focus on the case
where, in the slow-fast system, the prey growth is affected by a weak Allee
effect. We first consider this system in the non-spatial case and make its
comprehensive study using a variety of mathematical techniques. In particular,
we show that the interplay between the Allee effect and the existence of
multiple timescales may lead to a regime shift where small-amplitude
oscillations in the population abundances abruptly change to large-amplitude
oscillations. We then consider the spatially explicit slow-fast prey-predator
system and reveal the effect of different time scales on the pattern formation.
We show that a decrease in the timescale ratio may lead to another regime shift
where the spatiotemporal pattern becomes spatially correlated leading to
large-amplitude oscillations in spatially average population densities and
potential species extinction.
","[{'version': 'v1', 'created': 'Wed, 28 Jul 2021 07:45:55 GMT'}]",2021-07-29,"[['Chowdhury', 'Pranali Roy', ''], ['Petrovskii', 'Sergei', ''], ['Banerjee', 'Malay', '']]"
2103.16632,Nathan Bucki,"Nathan Bucki, Jerry Tang, and Mark W. Mueller","Design and Control of a Midair-Reconfigurable Quadcopter using
  Unactuated Hinges","Submitted to IEEE Transactions on Robotics (T-RO) as an evolved paper
  (first revision)",,,,cs.RO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  A novel quadcopter capable of changing shape mid-flight is presented,
allowing for operation in four configurations with the capability of sustained
hover in three. This is accomplished without requiring actuators beyond the
four motors typical of a quadcopter. Morphing is achieved through
freely-rotating hinges that allow the vehicle arms to fold downwards by either
reducing or reversing thrust forces. Constraints placed on the control inputs
of the vehicle prevent the arms from folding or unfolding unexpectedly. This
allows for the use of existing quadcopter controllers and trajectory generation
algorithms with only minimal added complexity. For our experimental vehicle at
hover, we find that these constraints result in a 36% reduction of the maximum
yaw torque the vehicle can produce, but do not result in a reduction of the
maximum thrust or roll and pitch torques. Experimental results show that, for a
typical maneuver, the added limits have a negligible effect on trajectory
tracking performance. Finally, the ability to change configurations is shown to
enable the vehicle to traverse small passages, perch on hanging wires, and
perform limited grasping tasks.
","[{'version': 'v1', 'created': 'Tue, 30 Mar 2021 19:18:02 GMT'}, {'version': 'v2', 'created': 'Fri, 17 Dec 2021 20:31:07 GMT'}]",2021-12-21,"[['Bucki', 'Nathan', ''], ['Tang', 'Jerry', ''], ['Mueller', 'Mark W.', '']]"
1209.6613,Abdelhamid Meziani,Abdelhamid Meziani,"Solvability of Planar Complex Vector Fields with Homogeneous
  Singularities",,,,,math.AP,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In this paper we study the equation $Lu=f$, where $L$ is a $\C$-valued vector
field in $\R^2$ with a homogeneous singularity. The properties of the solutions
are linked to the number theoretic properties of a pair of complex numbers
attached to the vector field.
","[{'version': 'v1', 'created': 'Fri, 28 Sep 2012 19:05:50 GMT'}]",2012-10-01,"[['Meziani', 'Abdelhamid', '']]"
